Date	Venue	Location	Ignore
Jul 23, 2016	Bankers Life Fieldhouse	Indianapolis, IN	 I Was There
Jul 22, 2016	Toledo Zoo Amphitheater	Toledo, OH	 I Was There
Jul 21, 2016	CONSOL Energy Center	Pittsburgh, PA	 I Was There
Jul 20, 2016	Erie Insurance Arena	Erie, PA	 I Was There
Jul 19, 2016	First Niagara Center	Buffalo, NY	 I Was There
Jul 18, 2016	Blue Cross Arena	Rochester, NY	 I Was There
Jul 17, 2016	The Santander Arena	Reading, PA	 I Was There
Jul 16, 2016	Bethel Woods Center for the Arts	Bethel, NY	 I Was There
Jul 15, 2016	The Grand Theater at Foxwoods Resort Casino	Mashantucket, CT	 I Was There
Jul 14, 2016	Cross Insurance Arena	Portland, ME	 I Was There
Jul 13, 2016	TImes Union Center	Albany, NY	 I Was There
Jul 07, 2016	Gexa Energy Pavilion	Dallas, TX	 I Was There
Dec 30, 2015	The Pabst Theater	Milwaukee, WI	 I Was There
Dec 29, 2015	The Pabst Theater	Milwaukee, WI	 I Was There
Dec 12, 2015	Madison Square Garden	New York, NY	 I Was There
Oct 01, 2015	The Lincoln Theatre	Washington, DC	 I Was There
Sep 04, 2015	Alaska State Fair	Palmer, AK	 I Was There
Aug 28, 2015	New York State Fair	Geddes, NY	 I Was There
Aug 14, 2015	CARY'S KOKA BOOTH AMPHITHEATRE AT REGENCY PARK	Cary, NC	 I Was There
Aug 11, 2015	Pier Six Pavilion	Baltimore, MD	 I Was There
Jul 22, 2015	Wells Fargo Center for the Arts	Santa Rosa, CA	 I Was There
Jul 21, 2015	Redding Civic Auditorium	Redding, CA	 I Was There
Jul 18, 2015	Arlene Schnitzer Concert Hall	Portland, OR	 I Was There
Jun 17, 2015	The Bell House	Brooklyn, NY	 I Was There
Feb 21, 2015	Singletary Center for the Arts	Lexington, KY	 I Was There
Jan 31, 2015	Talking Stick Resort Ballroom	Scottsdale, AZ	 I Was There
Jan 30, 2015	Talking Stick Resort Ballroom	Scottsdale, AZ	 I Was There
Dec 27, 2014	SOARING EAGLE CASINO AND RESORT	Mt. Pleasant, MI	 I Was There
Nov 19, 2014	Irving Plaza	New York, NY	 I Was There
Nov 07, 2014	The Bell House	Brooklyn, NY	 I Was There
Oct 17, 2014	Sydney Opera House	Sydney, Australia	 I Was There
Oct 16, 2014	Sydney Opera House	Sydney, Australia	 I Was There
Oct 15, 2014	Sydney Opera House	Sydney, Australia	 I Was There
Oct 01, 2014	Big Fresno Fair	Fresno, CA	 I Was There
Sep 14, 2014	Verizon Wireless Ampitheater	Irvine, CA	 I Was There
Sep 13, 2014	Verizon Wireless Ampitheater	Irvine, CA	 I Was There
Sep 10, 2014	Aladdin Theater	Portland, OR	 I Was There
May 23, 2014	Meervaart, De	Amsterdam, Netherlands	 I Was There
May 03, 2014	Paramount Theatre-Oakland	Oakland, CA	 I Was There
Apr 05, 2014	Leceister Square Theatre	London, United Kingdom	 I Was There
Dec 15, 2013	Redding Civic Auditorium	Redding, CA	 I Was There
Oct 01, 2013	The Bell House	Brooklyn, NY	 I Was There
Sep 26, 2013	The Bell House	Brooklyn, NY	 I Was There
Aug 24, 2013	Borgata Events Center	Atlantic City, NJ	 I Was There
Jul 13, 2013	City National Grove Of Anaheim	Anaheim, CA	 I Was There
Jul 11, 2013	Talking Stick Resort Ballroom	Scottsdale, AZ	 I Was There
Jun 28, 2013	Littefield	Brooklyn, NY	 I Was There
Jun 04, 2013	Sixth & I Historic Synagogue	Washington, DC	 I Was There
Mar 30, 2013	Roanoke Performing Arts Theatre	Roanoke, VA	 I Was There
Mar 28, 2013	Luther F. Carson Four Rivers Center for the Performing Arts	Paducah, KY	 I Was There
Mar 27, 2013	Juanita K. Hammons Hall	Springfield, MO	 I Was There
Mar 26, 2013	Robinson Center Music Hall	North Little Rock, AR	 I Was There
Mar 25, 2013	The Cotillion Ballroom	Wichita, KS	 I Was There
Mar 24, 2013	Rose State College Perf. Arts Theatre	Oklahoma City, OK	 I Was There
Mar 23, 2013	Brady Theater	Tulsa, OK	 I Was There
Mar 19, 2013	Mahalia Jackson Theater for the Performing Arts	New Orleans, LA	 I Was There
Mar 18, 2013	BJCC Concert Hall	Birmingham, AL	 I Was There
Mar 17, 2013	Tivoli Theatre	Chattanooga, TN	 I Was There
