word,n,name,rf
dance,2,Amy Schumer,5.17196793379881e-4
dawson,2,Amy Schumer,5.17196793379881e-4
deaf,2,Amy Schumer,5.17196793379881e-4
deb,2,Amy Schumer,5.17196793379881e-4
deep,2,Amy Schumer,5.17196793379881e-4
director,2,Amy Schumer,5.17196793379881e-4
dirty,2,Amy Schumer,5.17196793379881e-4
disappointing,2,Amy Schumer,5.17196793379881e-4
domestic,2,Amy Schumer,5.17196793379881e-4
donkey,2,Amy Schumer,5.17196793379881e-4
double,2,Amy Schumer,5.17196793379881e-4
dream,2,Amy Schumer,5.17196793379881e-4
dress,2,Amy Schumer,5.17196793379881e-4
drink,2,Amy Schumer,5.17196793379881e-4
drinking,2,Amy Schumer,5.17196793379881e-4
driver,2,Amy Schumer,5.17196793379881e-4
ebola,2,Amy Schumer,5.17196793379881e-4
entertain,2,Amy Schumer,5.17196793379881e-4
ew,2,Amy Schumer,5.17196793379881e-4
exact,2,Amy Schumer,5.17196793379881e-4
facedown,2,Amy Schumer,5.17196793379881e-4
fall,2,Amy Schumer,5.17196793379881e-4
fighters,2,Amy Schumer,5.17196793379881e-4
finally,2,Amy Schumer,5.17196793379881e-4
finding,2,Amy Schumer,5.17196793379881e-4
flopping,2,Amy Schumer,5.17196793379881e-4
fly,2,Amy Schumer,5.17196793379881e-4
forgot,2,Amy Schumer,5.17196793379881e-4
fox,2,Amy Schumer,5.17196793379881e-4
free,2,Amy Schumer,5.17196793379881e-4
gap,2,Amy Schumer,5.17196793379881e-4
german,2,Amy Schumer,5.17196793379881e-4
glad,2,Amy Schumer,5.17196793379881e-4
glimpse,2,Amy Schumer,5.17196793379881e-4
gold,2,Amy Schumer,5.17196793379881e-4
gorgeous,2,Amy Schumer,5.17196793379881e-4
grandparents,2,Amy Schumer,5.17196793379881e-4
grateful,2,Amy Schumer,5.17196793379881e-4
grossed,2,Amy Schumer,5.17196793379881e-4
guns,2,Amy Schumer,5.17196793379881e-4
hair,2,Amy Schumer,5.17196793379881e-4
half,2,Amy Schumer,5.17196793379881e-4
happiest,2,Amy Schumer,5.17196793379881e-4
happy,2,Amy Schumer,5.17196793379881e-4
hardest,2,Amy Schumer,5.17196793379881e-4
healthy,2,Amy Schumer,5.17196793379881e-4
hero,2,Amy Schumer,5.17196793379881e-4
holding,2,Amy Schumer,5.17196793379881e-4
honest,2,Amy Schumer,5.17196793379881e-4
honestly,2,Amy Schumer,5.17196793379881e-4
honey,2,Amy Schumer,5.17196793379881e-4
horrible,2,Amy Schumer,5.17196793379881e-4
hottest,2,Amy Schumer,5.17196793379881e-4
human,2,Amy Schumer,5.17196793379881e-4
idea,2,Amy Schumer,5.17196793379881e-4
idiot,2,Amy Schumer,5.17196793379881e-4
incorrectly,2,Amy Schumer,5.17196793379881e-4
initiate,2,Amy Schumer,5.17196793379881e-4
jar,2,Amy Schumer,5.17196793379881e-4
labeled,2,Amy Schumer,5.17196793379881e-4
laker,2,Amy Schumer,5.17196793379881e-4
late,2,Amy Schumer,5.17196793379881e-4
laundry,2,Amy Schumer,5.17196793379881e-4
lead,2,Amy Schumer,5.17196793379881e-4
lights,2,Amy Schumer,5.17196793379881e-4
literally,2,Amy Schumer,5.17196793379881e-4
live,2,Amy Schumer,5.17196793379881e-4
lively,2,Amy Schumer,5.17196793379881e-4
liver,2,Amy Schumer,5.17196793379881e-4
lives,2,Amy Schumer,5.17196793379881e-4
lose,2,Amy Schumer,5.17196793379881e-4
lunch,2,Amy Schumer,5.17196793379881e-4
makes,2,Amy Schumer,5.17196793379881e-4
means,2,Amy Schumer,5.17196793379881e-4
meet,2,Amy Schumer,5.17196793379881e-4
meryl,2,Amy Schumer,5.17196793379881e-4
microwave,2,Amy Schumer,5.17196793379881e-4
middle,2,Amy Schumer,5.17196793379881e-4
midwest,2,Amy Schumer,5.17196793379881e-4
minute,2,Amy Schumer,5.17196793379881e-4
mirror,2,Amy Schumer,5.17196793379881e-4
missing,2,Amy Schumer,5.17196793379881e-4
mm,2,Amy Schumer,5.17196793379881e-4
moms,2,Amy Schumer,5.17196793379881e-4
moon,2,Amy Schumer,5.17196793379881e-4
mound,2,Amy Schumer,5.17196793379881e-4
move,2,Amy Schumer,5.17196793379881e-4
named,2,Amy Schumer,5.17196793379881e-4
nervous,2,Amy Schumer,5.17196793379881e-4
newly,2,Amy Schumer,5.17196793379881e-4
nice,2,Amy Schumer,5.17196793379881e-4
nicer,2,Amy Schumer,5.17196793379881e-4
notice,2,Amy Schumer,5.17196793379881e-4
obama,2,Amy Schumer,5.17196793379881e-4
one's,2,Amy Schumer,5.17196793379881e-4
paddleboarding,2,Amy Schumer,5.17196793379881e-4
paid,2,Amy Schumer,5.17196793379881e-4
pain,2,Amy Schumer,5.17196793379881e-4
painted,2,Amy Schumer,5.17196793379881e-4
pair,2,Amy Schumer,5.17196793379881e-4
parents,2,Amy Schumer,5.17196793379881e-4
penis,2,Amy Schumer,5.17196793379881e-4
photographed,2,Amy Schumer,5.17196793379881e-4
pillow,2,Amy Schumer,5.17196793379881e-4
pizza,2,Amy Schumer,5.17196793379881e-4
poisoning,2,Amy Schumer,5.17196793379881e-4
pounding,2,Amy Schumer,5.17196793379881e-4
pretend,2,Amy Schumer,5.17196793379881e-4
pretending,2,Amy Schumer,5.17196793379881e-4
pretty,2,Amy Schumer,5.17196793379881e-4
putting,2,Amy Schumer,5.17196793379881e-4
questions,2,Amy Schumer,5.17196793379881e-4
quick,2,Amy Schumer,5.17196793379881e-4
quickly,2,Amy Schumer,5.17196793379881e-4
ran,2,Amy Schumer,5.17196793379881e-4
rape,2,Amy Schumer,5.17196793379881e-4
reality,2,Amy Schumer,5.17196793379881e-4
realize,2,Amy Schumer,5.17196793379881e-4
recommend,2,Amy Schumer,5.17196793379881e-4
refill,2,Amy Schumer,5.17196793379881e-4
register,2,Amy Schumer,5.17196793379881e-4
reno,2,Amy Schumer,5.17196793379881e-4
response,2,Amy Schumer,5.17196793379881e-4
restaurant,2,Amy Schumer,5.17196793379881e-4
return,2,Amy Schumer,5.17196793379881e-4
ring,2,Amy Schumer,5.17196793379881e-4
risk,2,Amy Schumer,5.17196793379881e-4
rochester,2,Amy Schumer,5.17196793379881e-4
roll,2,Amy Schumer,5.17196793379881e-4
seat,2,Amy Schumer,5.17196793379881e-4
set,2,Amy Schumer,5.17196793379881e-4
sexually,2,Amy Schumer,5.17196793379881e-4
shame,2,Amy Schumer,5.17196793379881e-4
shave,2,Amy Schumer,5.17196793379881e-4
shelf,2,Amy Schumer,5.17196793379881e-4
shift,2,Amy Schumer,5.17196793379881e-4
shirt,2,Amy Schumer,5.17196793379881e-4
shorts,2,Amy Schumer,5.17196793379881e-4
shower,2,Amy Schumer,5.17196793379881e-4
sick,2,Amy Schumer,5.17196793379881e-4
sisters,2,Amy Schumer,5.17196793379881e-4
site,2,Amy Schumer,5.17196793379881e-4
sitting,2,Amy Schumer,5.17196793379881e-4
slipper,2,Amy Schumer,5.17196793379881e-4
slow,2,Amy Schumer,5.17196793379881e-4
smoothie,2,Amy Schumer,5.17196793379881e-4
south,2,Amy Schumer,5.17196793379881e-4
spa,2,Amy Schumer,5.17196793379881e-4
stage,2,Amy Schumer,5.17196793379881e-4
stay,2,Amy Schumer,5.17196793379881e-4
steel,2,Amy Schumer,5.17196793379881e-4
stomach,2,Amy Schumer,5.17196793379881e-4
stops,2,Amy Schumer,5.17196793379881e-4
straight,2,Amy Schumer,5.17196793379881e-4
stranger,2,Amy Schumer,5.17196793379881e-4
stupid,2,Amy Schumer,5.17196793379881e-4
subway,2,Amy Schumer,5.17196793379881e-4
suck,2,Amy Schumer,5.17196793379881e-4
sucking,2,Amy Schumer,5.17196793379881e-4
super,2,Amy Schumer,5.17196793379881e-4
supposed,2,Amy Schumer,5.17196793379881e-4
surprise,2,Amy Schumer,5.17196793379881e-4
sweat,2,Amy Schumer,5.17196793379881e-4
terrorist,2,Amy Schumer,5.17196793379881e-4
test,2,Amy Schumer,5.17196793379881e-4
tested,2,Amy Schumer,5.17196793379881e-4
thanksgiving,2,Amy Schumer,5.17196793379881e-4
thigh,2,Amy Schumer,5.17196793379881e-4
times,2,Amy Schumer,5.17196793379881e-4
top,2,Amy Schumer,5.17196793379881e-4
towels,2,Amy Schumer,5.17196793379881e-4
trainwreck,2,Amy Schumer,5.17196793379881e-4
tricks,2,Amy Schumer,5.17196793379881e-4
truth,2,Amy Schumer,5.17196793379881e-4
tsunami,2,Amy Schumer,5.17196793379881e-4
tumbleweed,2,Amy Schumer,5.17196793379881e-4
tv,2,Amy Schumer,5.17196793379881e-4
